AFGHANISTAN
AFGHANISTAN M0BILE AT
AFGHANISTAN M0BILE AWCC
AFGHANISTAN M0BILE ETISALAT
AFGHANISTAN M0BILE MTN
AFGHANISTAN M0BILE ROSHAN
ALBANIA
ALBANIA FIXED ALBTEL
ALBANIA FIXED TELEKOM ALBANIA
ALBANIA M0BILE
ALBANIA M0BILE AMC
ALBANIA M0BILE EAGLE
ALBANIA M0BILE VODAFONE
ALBANIA OLO
ALBANIA SPECIAL SERVICES
ALBANIA TIRANA
ALGERIA
ALGERIA M0BILE
ALGERIA M0BILE OOREDOO
ALGERIA M0BILE OPTIMUM
ALGERIA SATELLITE M0BILE
AMERICAN SAMOA
ANDORRA
ANDORRA M0BILE
ANGOLA
ANGOLA M0BILE MOVICEL
ANGOLA M0BILE UNITELL
ANGOLA SPECIAL SERVICES
ANGUILLA
ANGUILLA M0BILE DIGICEL
ANGUILLA M0BILE OTHER
ANGUILLA PREMIUM SERVICES
ANTARCTICA
ANTIGUA & BARBUDA
ANTIGUA & BARBUDA M0BILE
ANTIGUA & BARBUDA M0BILE DIGICEL
ARGENTINA
ARGENTINA BUENOS AIRES
ARGENTINA CITIES
ARGENTINA CORDOBA
ARGENTINA M0BILE
ARGENTINA M0BILE CLARO
ARGENTINA M0BILE MOVISTAR
ARGENTINA MENDOZA
ARMENIA
ARMENIA KARABAKH
ARMENIA M0BILE ARMENTEL
ARMENIA M0BILE KARABAKH
ARMENIA M0BILE ORANGE
ARMENIA M0BILE VIVA CELL
ARUBA
ARUBA M0BILE DIGICEL
ARUBA M0BILE SETAR
ASCENSION
ASCENSION SPECIAL SERVICES
AUSTRALIA
AUSTRALIA M0BILE
AUSTRALIA M0BILE OPTUS
AUSTRALIA M0BILE OPTUS SATELLITE
AUSTRALIA M0BILE TELSTRA
AUSTRALIA M0BILE VODAFONE
AUSTRALIA MELBOURNE
AUSTRALIA SPECIAL SERVICES
AUSTRALIA SYDNEY
AUSTRIA
AUSTRIA M0BILE
AUSTRIA M0BILE A1 TELEKOM
AUSTRIA M0BILE THREE
AUSTRIA M0BILE TM0BILE
AUSTRIA SPECIAL SERVICES
AUSTRIA VIENNA
AZERBAIJAN
AZERBAIJAN M0BILE
AZERBAIJAN M0BILE BAKCELL
AZERBAIJAN M0BILE CATEL 
BAHAMAS
BAHAMAS M0BILE
BAHRAIN
BAHRAIN M0BILE
BAHRAIN M0BILE MTC
BAHRAIN M0BILE VIVA
BAHRAIN MENA TELECOM WIMAX
BANGLADESH
BANGLADESH CHITTAGONG
BANGLADESH DHAKA
BANGLADESH M0BILE
BANGLADESH M0BILE AIRTEL
BANGLADESH M0BILE BANGLALINK
BANGLADESH M0BILE GRAMEENPHONE
BANGLADESH M0BILE ROBI AXIATA
BANGLADESH M0BILE TELETALK
BANGLADESH SYLHET
BARBADOS
BARBADOS M0BILE
BARBADOS M0BILE C&W
BARBADOS M0BILE DIGICEL
BELARUS
BELARUS M0BILE
BELGIUM
BELGIUM FIXED ORANGE
