AFGHANISTAN
AFGHANISTAN MOBILE AT
AFGHANISTAN MOBILE AWCC
AFGHANISTAN MOBILE ETISALAT
AFGHANISTAN MOBILE MTN
AFGHANISTAN MOBILE ROSHAN
ALBANIA
ALBANIA FIXED ALBTEL
ALBANIA FIXED TELEKOM ALBANIA
ALBANIA MOBILE
ALBANIA MOBILE AMC
ALBANIA MOBILE EAGLE
ALBANIA MOBILE VODAFONE
ALBANIA OLO
ALBANIA SPECIAL SERVICES
ALBANIA TIRANA
ALGERIA
ALGERIA MOBILE
ALGERIA MOBILE OOREDOO
ALGERIA MOBILE OPTIMUM
ALGERIA SATELLITE MOBILE
AMERICAN SAMOA
ANDORRA
ANDORRA MOBILE
ANGOLA
ANGOLA MOBILE MOVICEL
ANGOLA MOBILE UNITELL
ANGOLA SPECIAL SERVICES
ANGUILLA
ANGUILLA MOBILE DIGICEL
ANGUILLA MOBILE OTHER
ANGUILLA PREMIUM SERVICES
ANTARCTICA
ANTIGUA & BARBUDA
ANTIGUA & BARBUDA MOBILE
ANTIGUA & BARBUDA MOBILE DIGICEL
ARGENTINA
ARGENTINA BUENOS AIRES
ARGENTINA CITIES
ARGENTINA CORDOBA
ARGENTINA MENDOZA
ARGENTINA MOBILE
ARGENTINA MOBILE CLARO
ARGENTINA MOBILE MOVISTAR
ARMENIA
ARMENIA KARABAKH
ARMENIA MOBILE ARMENTEL
ARMENIA MOBILE KARABAKH
ARMENIA MOBILE ORANGE
ARMENIA MOBILE VIVA CELL
ARUBA
ARUBA MOBILE DIGICEL
ARUBA MOBILE SETAR
ASCENSION
ASCENSION SPECIAL SERVICES
AUSTRALIA
AUSTRALIA MELBOURNE
AUSTRALIA MOBILE
AUSTRALIA MOBILE OPTUS
AUSTRALIA MOBILE OPTUS SATELLITE
AUSTRALIA MOBILE TELSTRA
AUSTRALIA MOBILE VODAFONE
AUSTRALIA SPECIAL SERVICES
AUSTRALIA SYDNEY
AUSTRIA
AUSTRIA MOBILE
AUSTRIA MOBILE A1 TELEKOM
AUSTRIA MOBILE THREE
AUSTRIA MOBILE TMOBILE
AUSTRIA SPECIAL SERVICES
AUSTRIA VIENNA
AZERBAIJAN
AZERBAIJAN MOBILE
AZERBAIJAN MOBILE BAKCELL
AZERBAIJAN MOBILE CATEL 
BAHAMAS
BAHAMAS MOBILE
BAHRAIN
BAHRAIN MENA TELECOM WIMAX
BAHRAIN MOBILE
BAHRAIN MOBILE MTC
BAHRAIN MOBILE VIVA
BANGLADESH
BANGLADESH CHITTAGONG
BANGLADESH DHAKA
BANGLADESH MOBILE
BANGLADESH MOBILE AIRTEL
BANGLADESH MOBILE BANGLALINK
BANGLADESH MOBILE GRAMEENPHONE
BANGLADESH MOBILE ROBI AXIATA
BANGLADESH MOBILE TELETALK
BANGLADESH SYLHET
BARBADOS
BARBADOS MOBILE
BARBADOS MOBILE C&W
BARBADOS MOBILE DIGICEL
BELARUS
BELARUS MOBILE
BELGIUM
BELGIUM FIXED ORANGE
BELGIUM FIXED PROXIMUS
BELGIUM MOBILE
BELGIUM MOBILE BASE
BELGIUM MOBILE LYCA
BELGIUM MOBILE MOBILE VIKINGS
BELGIUM MOBILE ORANGE
BELGIUM MOBILE PROXIMUS
BELGIUM MOBILE VOO
BELGIUM ROAMING BASE
BELGIUM ROAMING PROXIMUS
BELGIUM UNIVERSAL ACCESS NUMBER
BELIZE
BELIZE MOBILE
BENIN
BENIN MOBILE
BENIN MOBILE MOOV ETISALAT
BENIN MOBILE MTN
BERMUDA
BERMUDA MOBILE
BERMUDA MOBILE DIGICEL
BHUTAN
BHUTAN MOBILE
BOLIVIA
BOLIVIA COCHABAMBA
BOLIVIA LA PAZ
BOLIVIA MOBILE ENTEL
BOLIVIA MOBILE NUEVATEL
BOLIVIA MOBILE TELCEL
BOLIVIA ORURO
BOLIVIA POTOSI
BOLIVIA RURAL
BOLIVIA SANTA CRUZ
BOLIVIA SUCRE
BOLIVIA TARIJA
BOLIVIA TRINIDAD
BOSNIA & HERZEGOVINA
BOSNIA & HERZEGOVINA BH TELECOM
BOSNIA & HERZEGOVINA MOBILE BH TELECOM
BOSNIA & HERZEGOVINA MOBILE ERONET
BOSNIA & HERZEGOVINA MOBILE M:TEL
BOSNIA & HERZEGOVINA MOSTAR
BOSNIA & HERZEGOVINA M:TEL
BOTSWANA
BOTSWANA FIXED MTN
BOTSWANA MOBILE
BOTSWANA MOBILE MTN MASCOM
BOTSWANA MOBILE ORANGE
BRAZIL
BRAZIL BELO HORIZONTE
BRAZIL CITIES
BRAZIL CITIES ONNET
BRAZIL FIXED VIVO
BRAZIL GOVERNADOR VALADARES
BRAZIL MOBILE
BRAZIL MOBILE CLARO
BRAZIL MOBILE NEXTEL
BRAZIL MOBILE OI
BRAZIL MOBILE TIM
BRAZIL MOBILE VIVO
BRAZIL RIO DE JANEIRO
BRAZIL SAO PAULO
BRITISH VIRGIN ISLANDS
BRITISH VIRGIN ISLANDS MOBILE
BRITISH VIRGIN ISLANDS MOBILE DIGICEL
BRUNEI
BRUNEI MOBILE
BULGARIA
BULGARIA MOBILE
BULGARIA MOBILE MOBILTEL
BULGARIA MOBILE TELENOR
BULGARIA MOBILE VIVACOM
BULGARIA OLO
BULGARIA SOFIA
BULGARIA SPECIAL SERVICES
BURKINA FASO
BURKINA FASO FIXED ORANGE
BURKINA FASO MOBILE
BURKINA FASO MOBILE MOOV ETISALAT
BURKINA FASO MOBILE ORANGE
BURKINA FASO MOBILE TELECEL
BURKINA FASO SPECIAL SERVICES
BURUNDI
BURUNDI MOBILE
BURUNDI MOBILE AFRICELL
BURUNDI MOBILE ECONET WIRELESS
BURUNDI MOBILE ONATEL
BURUNDI MOBILE SMART
BURUNDI SPECIAL SERVICES
CAMBODIA
CAMBODIA MOBILE
CAMBODIA MOBILE MOBITEL
CAMBODIA MOBILE SEATEL
CAMBODIA MOBILE SMART
CAMBODIA MOBILE VIETTEL
CAMBODIA VIETTEL
CAMEROON
CAMEROON DOUALA
CAMEROON MOBILE
CAMEROON MOBILE MTN
CAMEROON MOBILE ORANGE
CAMEROON SPECIAL SERVICES MTN
CAMEROON SPECIAL SERVICES TYPE_A
CAMEROON SPECIAL SERVICES TYPE_B
CAPE VERDE
CAPE VERDE MOBILE
CAPE VERDE MOBILE UNITEL
CAYMAN ISLANDS
CAYMAN ISLANDS MOBILE
CAYMAN ISLANDS MOBILE C&W
CAYMAN ISLANDS MOBILE DIGICEL
CENTRAL AFRICAN REPUBLIC
CENTRAL AFRICAN REPUBLIC MOBILE
CENTRAL AFRICAN REPUBLIC MOBILE MOOV ETISALAT
CENTRAL AFRICAN REPUBLIC MOBILE ORANGE
CENTRAL AFRICAN REPUBLIC MOBILE TELECEL
CENTRAL AFRICAN REPUBLIC SPECIAL SERVICES
CHAD
CHAD MOBILE
CHAD MOBILE AIRTEL
CHAD MOBILE MOOV ETISALAT
CHILE
CHILE EASTER ISLAND
CHILE MOBILE
CHILE MOBILE MOVISTAR
CHILE RURAL
CHILE SANTIAGO
CHINA
CHINA BEIJING
CHINA MOBILE
CHINA SHANGHAI
COLOMBIA
COLOMBIA BARRANQUILLA
COLOMBIA BOGOTA
COLOMBIA BUCARAMANGA
COLOMBIA CALI
COLOMBIA MANIZALES
COLOMBIA MEDELLIN
COLOMBIA MOBILE
COLOMBIA MOBILE AVANTEL
COLOMBIA MOBILE COMCEL
COLOMBIA MOBILE MOVISTAR
COLOMBIA MOBILE TIGO
COLOMBIA OTHER CITIES
COLOMBIA PEREIRA
COMOROS
COMOROS MOBILE
COMOROS MOBILE COMORES TELECOM
CONGO
CONGO MOBILE
CONGO MOBILE AIRTEL
CONGO MOBILE MTN
CONGO MOBILITY SERVICES
COOK ISLANDS
COSTA RICA
COSTA RICA FIXED HIGH COST
COSTA RICA MOBILE
COSTA RICA MOBILE CLARO
COSTA RICA MOBILE ICE
COSTA RICA MOBILE TELEFONICA
CROATIA
CROATIA MOBILE
CROATIA MOBILE TELE2
CROATIA MOBILE TMOBILE
CROATIA MOBILE VIPNET
CUBA
CUBA GUANTANAMO BAY
CUBA MOBILE
CYPRUS
CYPRUS MOBILE
CYPRUS NON GEOGRAPHIC
CYPRUS OLO
CZECH REPUBLIC
CZECH REPUBLIC MOBILE
CZECH REPUBLIC MOBILE O2
CZECH REPUBLIC MOBILE TMOBILE
CZECH REPUBLIC MOBILE VODAFONE
CZECH REPUBLIC MOBILITY SERVICES
CZECH REPUBLIC SPECIAL SERVICES
DENMARK
DENMARK MOBILE
DENMARK MOBILE H3G
